countryCode,genus,species,decimalLongitude,decimalLatitude
FR,Xylotrechus,Xylotrechus arvicola,-0.30872,44.06401
FR,Xylotrechus,Xylotrechus arvicola,3.32577,46.45449
FR,Xylotrechus,Xylotrechus arvicola,1.56581,48.96635
FR,Xylotrechus,Xylotrechus arvicola,2.79504,48.97475
NL,Xylotrechus,Xylotrechus arvicola,5.85,51.05
NL,Xylotrechus,Xylotrechus arvicola,5.9,51.2
NL,Xylotrechus,Xylotrechus arvicola,5.9,51.5
FR,Xylotrechus,Xylotrechus arvicola,2.08191,50.67842
FR,Xylotrechus,Xylotrechus arvicola,2.13291,50.69185
FR,Xylotrechus,Xylotrechus arvicola,6.40454,43.97804
FR,Xylotrechus,Xylotrechus arvicola,3.0232,42.53014
FR,Xylotrechus,Xylotrechus arvicola,3.02991,42.49376
FR,Xylotrechus,Xylotrechus arvicola,-0.59216,44.59572
FR,Xylotrechus,Xylotrechus arvicola,9.10325,42.13957
FR,Xylotrechus,Xylotrechus arvicola,-1.05665,44.03884
FR,Xylotrechus,Xylotrechus arvicola,9.10325,42.13957
FR,Xylotrechus,Xylotrechus arvicola,6.428,43.97026
FR,Xylotrechus,Xylotrechus arvicola,3.86255,47.44214
FR,Xylotrechus,Xylotrechus arvicola,1.56581,48.96635
FR,Xylotrechus,Xylotrechus arvicola,2.38948,48.61361
FR,Xylotrechus,Xylotrechus arvicola,2.407896,48.595315
FR,Xylotrechus,Xylotrechus arvicola,-1.78,46.7
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
NL,Xylotrechus,Xylotrechus arvicola,6.05,51.35
FR,Xylotrechus,Xylotrechus arvicola,6.34539,43.24461
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852
FR,Xylotrechus,Xylotrechus arvicola,2.44789,48.85746
FR,Xylotrechus,Xylotrechus arvicola,0.25735,45.56632
FR,Xylotrechus,Xylotrechus arvicola,0.2853,47.32359
FR,Xylotrechus,Xylotrechus arvicola,0.40894,47.50655
FR,Xylotrechus,Xylotrechus arvicola,0.40894,47.50655
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,6.38527,43.25111
FR,Xylotrechus,Xylotrechus arvicola,3.32577,46.45449
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,-0.43351,46.13293
FR,Xylotrechus,Xylotrechus arvicola,-1.47406,46.50964
FR,Xylotrechus,Xylotrechus arvicola,3.45085,45.82372
FR,Xylotrechus,Xylotrechus arvicola,1.29861,48.78295
NL,Xylotrechus,Xylotrechus arvicola,5.75,51.7
NL,Xylotrechus,Xylotrechus arvicola,6,50.75
FR,Xylotrechus,Xylotrechus arvicola,1.7031,49.19261
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852
FR,Xylotrechus,Xylotrechus arvicola,3.06685,47.80536
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93315,47.80536
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.79887,47.9852
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.79921,47.8952
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,2.93315,47.80536
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,3.06685,47.80536
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93303,47.89536
FR,Xylotrechus,Xylotrechus arvicola,3.06708,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.93292,47.98535
FR,Xylotrechus,Xylotrechus arvicola,2.37554,49.78229
FR,Xylotrechus,Xylotrechus arvicola,0.2853,47.32359
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,-0.43351,46.13293
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.93502,46.27485
FR,Xylotrechus,Xylotrechus arvicola,3.06488,46.1848
FR,Xylotrechus,Xylotrechus arvicola,3.06488,46.1848
FR,Xylotrechus,Xylotrechus arvicola,5.6309,45.61377
FR,Xylotrechus,Xylotrechus arvicola,1.46145,45.0844
FR,Xylotrechus,Xylotrechus arvicola,1.46145,45.0844
FR,Xylotrechus,Xylotrechus arvicola,1.4109,45.09293
FR,Xylotrechus,Xylotrechus arvicola,1.4109,45.09293
FR,Xylotrechus,Xylotrechus arvicola,2.45414,46.74002
FR,Xylotrechus,Xylotrechus arvicola,-1.024113,46.206364
NL,Xylotrechus,Xylotrechus arvicola,6.05,51.35
NL,Xylotrechus,Xylotrechus arvicola,5.8,51.8
FR,Xylotrechus,Xylotrechus arvicola,2.54751,47.13309
FR,Xylotrechus,Xylotrechus arvicola,4.04253,49.86928
FR,Xylotrechus,Xylotrechus arvicola,5.79649,43.80814
FR,Xylotrechus,Xylotrechus arvicola,2.38632,48.88342
FR,Xylotrechus,Xylotrechus arvicola,3.06445,45.8246
FR,Xylotrechus,Xylotrechus arvicola,-1.10043,46.3813
FR,Xylotrechus,Xylotrechus arvicola,-1.10043,46.3813
FR,Xylotrechus,Xylotrechus arvicola,3.07068,50.68179
FR,Xylotrechus,Xylotrechus arvicola,5.79649,43.80814
BE,Xylotrechus,Xylotrechus arvicola,4.574,50.114
FR,Xylotrechus,Xylotrechus arvicola,0.957505,47.31305
FR,Xylotrechus,Xylotrechus arvicola,0.95759,47.312
FR,Xylotrechus,Xylotrechus arvicola,0.94706,47.33718
FR,Xylotrechus,Xylotrechus arvicola,0.94706,47.33718
FR,Xylotrechus,Xylotrechus arvicola,2.2011,48.97007
FR,Xylotrechus,Xylotrechus arvicola,-1.58835,47.53512
FR,Xylotrechus,Xylotrechus arvicola,2.484939,51.062959
FR,Xylotrechus,Xylotrechus arvicola,5.27489,44.20272
FR,Xylotrechus,Xylotrechus arvicola,5.31423,44.17959
FR,Xylotrechus,Xylotrechus arvicola,-1.51,47.33
FR,Xylotrechus,Xylotrechus arvicola,-1.48,47.45
FR,Xylotrechus,Xylotrechus arvicola,2.39862,48.93408
FR,Xylotrechus,Xylotrechus arvicola,2.39862,48.93408
FR,Xylotrechus,Xylotrechus arvicola,-1.30945,48.08563
FR,Xylotrechus,Xylotrechus arvicola,-1.13502,45.11766
FR,Xylotrechus,Xylotrechus arvicola,2.67315,46.63458
FR,Xylotrechus,Xylotrechus arvicola,-0.9827,47.21239
FR,Xylotrechus,Xylotrechus arvicola,-1.12837,45.02774
FR,Xylotrechus,Xylotrechus arvicola,-0.54132,43.78648
FR,Xylotrechus,Xylotrechus arvicola,1.99464,47.98107
FR,Xylotrechus,Xylotrechus arvicola,1.05472,44.36683
DE,Xylotrechus,Xylotrechus arvicola,13.541609,51.124973
ES,Xylotrechus,Xylotrechus arvicola,2.428577,41.761913
NL,Xylotrechus,Xylotrechus arvicola,5.75,51.05
NL,Xylotrechus,Xylotrechus arvicola,5.45,51.45
FR,Xylotrechus,Xylotrechus arvicola,-1.5152,47.917
FR,Xylotrechus,Xylotrechus arvicola,6.60203,43.91579
FR,Xylotrechus,Xylotrechus arvicola,6.60203,43.91579
FR,Xylotrechus,Xylotrechus arvicola,5.43396,43.95732
FR,Xylotrechus,Xylotrechus arvicola,6.67696,43.96216
FR,Xylotrechus,Xylotrechus arvicola,0.23188,45.79068
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,-0.43351,46.13293
FR,Xylotrechus,Xylotrechus arvicola,-0.43351,46.13293
FR,Xylotrechus,Xylotrechus arvicola,3.06488,46.1848
FR,Xylotrechus,Xylotrechus arvicola,2.93922,42.4948
FR,Xylotrechus,Xylotrechus arvicola,2.80354,46.72492
FR,Xylotrechus,Xylotrechus arvicola,6.67696,43.96216
FR,Xylotrechus,Xylotrechus arvicola,2.54326,48.9081
FR,Xylotrechus,Xylotrechus arvicola,2.54326,48.9081
FR,Xylotrechus,Xylotrechus arvicola,6.65964,43.69248
FR,Xylotrechus,Xylotrechus arvicola,6.65964,43.69248
FR,Xylotrechus,Xylotrechus arvicola,6.65964,43.69248
FR,Xylotrechus,Xylotrechus arvicola,6.65964,43.69248
FR,Xylotrechus,Xylotrechus arvicola,-0.6037,47.31476
FR,Xylotrechus,Xylotrechus arvicola,-1.5237,47.35001
FR,Xylotrechus,Xylotrechus arvicola,-1.49786,47.9439
FR,Xylotrechus,Xylotrechus arvicola,1.70237,48.9679
FR,Xylotrechus,Xylotrechus arvicola,1.70237,48.9679
